Time(ms),ID,Gaze_X,Gaze_Y,Gaze_Z,TrackingObject,FixationDuration,PreviousAOI,CurrentAOI,PupilLeft,PupilRight,PupilCombined,SaccadeSpeed,HeadYaw,HeadPitch,Blink,LookAheadCarID,LookAheadCarType,LookAheadCarSpeed,Distance,LookAheadCar_PosX,LookAheadCar_PosY,LookAheadCar_PosZ
0.10,id,-43.07758,2.619709,-7.424701,None,0,,None,5.895408,5.256414,5.575912,0,169.8043,32.36242,False,None,None,,,,,
0.20,id,-43.08016,2.618159,-7.424131,None,0.03450669,,None,5.8895,5.272618,5.581059,45.22958,170.9209,33.06637,False,None,None,,,,,
0.30,id,-43.0805,2.618254,-7.424246,None,0.06270899,,None,5.870294,5.249563,5.559928,4.090089,171.0775,33.02299,False,None,None,,,,,
0.40,id,-43.08351,2.621695,-7.426872,None,0.1657596,,None,4.975986,5.231528,5.103757,34.91792,172.596,31.46858,False,None,None,,,,,
0.50,id,-43.08516,2.624521,-7.428773,None,0.2703039,,None,4.997735,5.270639,5.134187,30.45025,173.4236,30.21161,False,None,None,,,,,
0.60,id,-43.08583,2.625127,-7.429203,None,0.36088,,None,4.957156,5.173842,5.065499,7.603577,173.742,29.9439,False,None,None,,,,,
0.70,id,-43.08614,2.625965,-7.429718,None,0.4606403,,None,4.83443,5.006515,4.920472,3.388535,173.9025,29.57537,False,None,None,,,,,
0.80,id,-43.0858,2.625043,-7.429151,None,0.5603811,,None,4.731496,4.90912,4.820308,7.383962,173.7239,29.98098,False,None,None,,,,,
0.90,id,-43.08572,2.625248,-7.429261,None,0.6629271,,None,4.564358,4.715699,4.640029,1.681768,173.6969,29.89072,False,None,None,,,,,
1.00,id,-43.08572,2.625827,-7.429594,None,0.7602576,,None,4.505479,4.715298,4.610388,2.505826,173.7138,29.63595,False,None,None,,,,,
1.10,id,-43.08653,2.625679,-7.429596,None,0.8702196,,None,4.530754,4.723214,4.626984,2.710493,174.0665,29.70092,False,None,None,,,,,
1.20,id,-43.09016,2.626193,-7.430214,None,0.9709495,,None,4.546238,4.736478,4.641358,13.66039,175.6767,29.47515,False,None,None,,,,,
1.30,id,-43.09365,2.627203,-7.430997,None,1.070686,,None,4.566989,4.703419,4.635204,12.16741,177.224,29.03289,False,None,None,,,,,
1.40,id,-43.09396,2.628094,-7.431503,None,1.170415,,None,4.570117,4.610491,4.590304,3.92234,177.3697,28.64444,False,None,None,,,,,
1.50,id,-43.09196,2.627995,-7.431342,None,1.270571,,None,4.804376,4.578428,4.691401,14.6139,176.4981,28.68785,False,None,None,,,,,
1.60,id,-43.09012,2.627688,-7.431047,None,1.370883,,None,4.441035,4.392844,4.41694,11.82278,175.6889,28.82113,False,None,None,,,,,
1.70,id,-43.08905,2.627682,-7.430959,None,1.470271,,None,4.445782,4.658025,4.551904,3.713074,175.2186,28.82373,False,None,None,,,,,
1.80,id,-43.08923,2.627147,-7.430677,None,1.570608,,None,4.684667,4.376049,4.530358,3.603217,175.2888,29.05738,False,None,None,,,,,
1.90,id,-43.09005,2.628221,-7.431334,None,1.670407,,None,4.494293,4.733813,4.614053,7.467018,175.6649,28.58928,False,None,None,,,,,
2.00,id,-43.09084,2.629401,-7.43203,None,1.769728,,None,4.552152,4.697291,4.624722,8.224386,176.0295,28.0773,False,None,None,,,,,
2.10,id,-43.09093,2.631769,-7.433275,None,1.869828,,None,4.301273,4.803152,4.552213,11.45393,176.1033,27.05676,False,None,None,,,,,
2.20,id,-43.09057,2.63455,-7.434638,None,1.959706,,None,4.283193,4.668615,4.475904,21.70209,175.9927,25.87032,False,None,None,,,,,
2.30,id,-43.08991,2.636826,-7.435674,None,2.070289,,None,4.363105,4.541998,4.452552,13.11077,175.7477,24.90787,False,None,None,,,,,
2.40,id,-43.09076,2.641497,-7.437812,None,2.169871,,None,4.337818,4.483275,4.410546,22.28076,176.1628,22.95557,False,None,None,,,,,
2.50,id,-43.09119,2.640763,-7.437526,None,2.269898,,None,4.345656,4.488563,4.417109,7.669893,176.3363,23.26063,False,None,None,,,,,
2.60,id,-43.09104,2.638608,-7.436568,None,2.370139,,None,4.426006,4.573476,4.499741,46.90113,176.2469,24.1598,False,None,None,,,,,
2.70,id,-43.0918,2.63764,-7.436177,None,2.470212,,None,4.532573,4.682448,4.607511,12.87374,176.5551,24.56528,False,None,None,,,,,
2.80,id,-43.09243,2.637774,-7.436275,None,2.570429,,None,4.642333,4.77112,4.706726,1.044523,176.8215,24.50909,False,None,None,,,,,
2.90,id,-43.09295,2.636807,-7.435857,None,2.670228,,None,4.674989,4.847178,4.761084,4.410141,177.0301,24.91591,False,None,None,,,,,
3.00,id,-43.09315,2.636456,-7.435703,None,2.77145,,None,4.683326,4.868992,4.776159,1.599706,177.1097,25.06397,False,None,None,,,,,
