Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
0.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
0.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
1.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
2.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
3.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.600,None,None,,,,,
3.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-43.900,None,None,,,,,
4.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-43.900,None,None,,,,,
4.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-38.800,None,None,,,,,
4.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-36.500,None,None,,,,,
4.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-36.500,None,None,,,,,
4.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-33.500,None,None,,,,,
4.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-31.500,None,None,,,,,
4.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-30.000,None,None,,,,,
4.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-28.800,None,None,,,,,
4.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-27.800,None,None,,,,,
4.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-27.300,None,None,,,,,
5.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-26.800,None,None,,,,,
5.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-25.600,None,None,,,,,
5.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-24.100,None,None,,,,,
5.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-22.700,None,None,,,,,
5.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-21.400,None,None,,,,,
5.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-20.500,None,None,,,,,
5.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-19.300,None,None,,,,,
5.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.900,None,None,,,,,
5.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
5.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
6.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
6.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.700,None,None,,,,,
6.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.400,None,None,,,,,
6.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.000,None,None,,,,,
6.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-14.300,None,None,,,,,
6.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-13.900,None,None,,,,,
